,best_fitness_19521287,num of evaluation calls
0,17.87714,2048
1,17.10729,4096
2,17.10729,6144
3,17.10729,8192
4,16.75424,10240
5,16.75424,12288
6,16.75424,14336
7,16.75424,16384
8,14.37945,18432
9,14.37945,20480
10,14.37945,22528
11,14.37945,24576
12,13.84241,26624
13,13.84241,28672
14,13.84241,30720
15,13.28103,32768
16,10.71498,34816
17,10.71498,36864
18,10.16732,38912
19,9.42393,40960
20,9.42393,43008
21,9.42393,45056
22,9.19487,47104
23,9.19487,49152
24,9.19487,51200
25,9.19487,53248
26,9.19487,55296
27,7.53222,57344
28,7.53222,59392
29,7.53222,61440
30,7.53222,63488
31,7.53222,65536
32,7.2782,67584
33,7.2782,69632
34,6.92359,71680
35,6.61553,73728
36,6.47674,75776
37,6.47674,77824
38,5.645,79872
39,5.37926,81920
40,5.37926,83968
41,5.37926,86016
42,5.37926,88064
43,4.8632,90112
44,4.72398,92160
45,4.72398,94208
46,4.72398,96256
47,4.72398,98304
48,4.42583,100352
49,3.52407,102400
50,3.52407,104448
51,3.52407,106496
52,3.52407,108544
53,3.52407,110592
54,3.52407,112640
55,3.30952,114688
56,3.30952,116736
57,3.05003,118784
58,3.05003,120832
59,2.96228,122880
60,2.96228,124928
61,2.73816,126976
62,2.73816,129024
63,2.47371,131072
64,2.40125,133120
65,2.40125,135168
66,2.40125,137216
67,2.40125,139264
68,2.37376,141312
69,2.21961,143360
70,1.96145,145408
71,1.65905,147456
72,1.65905,149504
73,1.65905,151552
74,1.49929,153600
75,1.4666,155648
76,1.4666,157696
77,1.10214,159744
78,1.10214,161792
79,1.10214,163840
80,0.95117,165888
81,0.95117,167936
82,0.95117,169984
83,0.77647,172032
84,0.50247,174080
85,0.50247,176128
86,0.50247,178176
87,0.42847,180224
88,0.42847,182272
89,0.42847,184320
90,0.42847,186368
91,0.42847,188416
92,0.42847,190464
93,0.31552,192512
94,0.31552,194560
95,0.31552,196608
96,0.26358,198656
97,0.24667,200704
98,0.18592,202752
99,0.18592,204800
100,0.11605,206848
101,0.11605,208896
102,0.11605,210944
103,0.11605,212992
104,0.11605,215040
105,0.11605,217088
106,0.11605,219136
107,0.11605,221184
108,0.11605,223232
109,0.11599,225280
110,0.11599,227328
111,0.11599,229376
112,0.08044,231424
113,0.08044,233472
114,0.08044,235520
115,0.07878,237568
116,0.07278,239616
117,0.07278,241664
118,0.07233,243712
119,0.0539,245760
120,0.0539,247808
121,0.04371,249856
122,0.04371,251904
123,0.04371,253952
124,0.04207,256000
125,0.03995,258048
126,0.03888,260096
127,0.03888,262144
128,0.03411,264192
129,0.03411,266240
130,0.02736,268288
131,0.02736,270336
132,0.02736,272384
133,0.02257,274432
134,0.02257,276480
135,0.02033,278528
136,0.02033,280576
137,0.01985,282624
138,0.01572,284672
139,0.01328,286720
140,0.01328,288768
141,0.01328,290816
142,0.01328,292864
143,0.01216,294912
144,0.01216,296960
145,0.01216,299008
146,0.01095,301056
147,0.01095,303104
148,0.00732,305152
149,0.00732,307200
150,0.00732,309248
151,0.00732,311296
152,0.00732,313344
153,0.00732,315392
154,0.00732,317440
155,0.00585,319488
156,0.00484,321536
157,0.00484,323584
158,0.00484,325632
159,0.00458,327680
160,0.00343,329728
161,0.00343,331776
162,0.00343,333824
163,0.00343,335872
164,0.00343,337920
165,0.00328,339968
166,0.00328,342016
167,0.00214,344064
168,0.00214,346112
169,0.00214,348160
170,0.00214,350208
171,0.00214,352256
172,0.00214,354304
173,0.00177,356352
174,0.00177,358400
175,0.00177,360448
176,0.00177,362496
177,0.00177,364544
178,0.00177,366592
179,0.00177,368640
180,0.00142,370688
181,0.00142,372736
182,0.00142,374784
183,0.00122,376832
184,0.00122,378880
185,0.00118,380928
186,0.00118,382976
187,0.00113,385024
188,0.00077,387072
189,0.00077,389120
190,0.00077,391168
191,0.0007,393216
192,0.0007,395264
193,0.00067,397312
194,0.00051,399360
195,0.00051,401408
196,0.00051,403456
197,0.0005,405504
198,0.0005,407552
199,0.0005,409600
200,0.0005,411648
201,0.00037,413696
202,0.00037,415744
203,0.00037,417792
204,0.00035,419840
205,0.00034,421888
206,0.00033,423936
207,0.00033,425984
208,0.00029,428032
209,0.00029,430080
210,0.00029,432128
211,0.00024,434176
212,0.00021,436224
213,0.00021,438272
214,0.00018,440320
215,0.00018,442368
216,0.00018,444416
217,0.00018,446464
218,0.00018,448512
219,0.00018,450560
220,0.00017,452608
221,0.00014,454656
222,0.00012,456704
223,0.00012,458752
224,0.00012,460800
225,0.00011,462848
226,0.0001,464896
227,0.0001,466944
228,0.0001,468992
229,9e-05,471040
230,9e-05,473088
231,8e-05,475136
232,8e-05,477184
233,6e-05,479232
234,6e-05,481280
235,6e-05,483328
236,5e-05,485376
237,5e-05,487424
238,5e-05,489472
239,5e-05,491520
240,5e-05,493568
241,4e-05,495616
242,4e-05,497664
243,4e-05,499712
244,3e-05,501760
245,3e-05,503808
246,3e-05,505856
247,3e-05,507904
248,3e-05,509952
249,2e-05,512000
250,2e-05,514048
251,2e-05,516096
252,2e-05,518144
253,2e-05,520192
254,2e-05,522240
255,2e-05,524288
256,2e-05,526336
257,2e-05,528384
258,2e-05,530432
259,2e-05,532480
260,2e-05,534528
261,2e-05,536576
262,1e-05,538624
263,1e-05,540672
264,1e-05,542720
265,1e-05,544768
266,1e-05,546816
267,1e-05,548864
268,1e-05,550912
269,1e-05,552960
270,1e-05,555008
271,1e-05,557056
272,1e-05,559104
273,1e-05,561152
274,1e-05,563200
275,1e-05,565248
276,1e-05,567296
277,1e-05,569344
278,1e-05,571392
279,1e-05,573440
280,1e-05,575488
281,0.0,577536
282,0.0,579584
283,0.0,581632
284,0.0,583680
285,0.0,585728
286,0.0,587776
287,0.0,589824
288,0.0,591872
289,0.0,593920
290,0.0,595968
291,0.0,598016
292,0.0,600064
293,0.0,602112
294,0.0,604160
295,0.0,606208
296,0.0,608256
297,0.0,610304
298,0.0,612352
299,0.0,614400
300,0.0,616448
301,0.0,618496
302,0.0,620544
303,0.0,622592
304,0.0,624640
305,0.0,626688
306,0.0,628736
307,0.0,630784
308,0.0,632832
309,0.0,634880
310,0.0,636928
311,0.0,638976
312,0.0,641024
313,0.0,643072
314,0.0,645120
315,0.0,647168
316,0.0,649216
317,0.0,651264
318,0.0,653312
319,0.0,655360
320,0.0,657408
321,0.0,659456
322,0.0,661504
323,0.0,663552
324,0.0,665600
325,0.0,667648
326,0.0,669696
327,0.0,671744
328,0.0,673792
329,0.0,675840
330,0.0,677888
331,0.0,679936
332,0.0,681984
333,0.0,684032
334,0.0,686080
335,0.0,688128
336,0.0,690176
337,0.0,692224
338,0.0,694272
339,0.0,696320
340,0.0,698368
341,0.0,700416
342,0.0,702464
343,0.0,704512
344,0.0,706560
345,0.0,708608
346,0.0,710656
347,0.0,712704
348,0.0,714752
349,0.0,716800
350,0.0,718848
351,0.0,720896
352,0.0,722944
353,0.0,724992
354,0.0,727040
355,0.0,729088
356,0.0,731136
357,0.0,733184
358,0.0,735232
359,0.0,737280
360,0.0,739328
361,0.0,741376
362,0.0,743424
363,0.0,745472
364,0.0,747520
365,0.0,749568
366,0.0,751616
367,0.0,753664
368,0.0,755712
369,0.0,757760
370,0.0,759808
371,0.0,761856
372,0.0,763904
373,0.0,765952
374,0.0,768000
375,0.0,770048
376,0.0,772096
377,0.0,774144
378,0.0,776192
379,0.0,778240
380,0.0,780288
381,0.0,782336
382,0.0,784384
383,0.0,786432
384,0.0,788480
385,0.0,790528
386,0.0,792576
387,0.0,794624
388,0.0,796672
389,0.0,798720
390,0.0,800768
391,0.0,802816
392,0.0,804864
393,0.0,806912
394,0.0,808960
395,0.0,811008
396,0.0,813056
397,0.0,815104
398,0.0,817152
399,0.0,819200
