,best_fitness_19521287,num of evaluation calls
0,88.24642,2048
1,83.14333,4096
2,83.14333,6144
3,83.14333,8192
4,70.51554,10240
5,70.51554,12288
6,70.51554,14336
7,70.51554,16384
8,59.71157,18432
9,50.63917,20480
10,50.63917,22528
11,50.63917,24576
12,48.38569,26624
13,44.0201,28672
14,44.0201,30720
15,44.0201,32768
16,44.0201,34816
17,44.0201,36864
18,44.0201,38912
19,39.79714,40960
20,39.79714,43008
21,39.79714,45056
22,39.79714,47104
23,39.79714,49152
24,39.79714,51200
25,39.79714,53248
26,37.85089,55296
27,37.85089,57344
28,37.85089,59392
29,37.85089,61440
30,34.35881,63488
31,34.35881,65536
32,34.35881,67584
33,34.35881,69632
34,34.35881,71680
35,28.2004,73728
36,28.2004,75776
37,28.2004,77824
38,28.2004,79872
39,27.26635,81920
40,27.26635,83968
41,27.26635,86016
42,27.26635,88064
43,27.26635,90112
44,27.26635,92160
45,27.26635,94208
46,27.26635,96256
47,27.26635,98304
48,27.26635,100352
49,22.71903,102400
50,22.71903,104448
51,22.71903,106496
52,22.71903,108544
53,22.71903,110592
54,22.71903,112640
55,22.71903,114688
56,22.71903,116736
57,22.71903,118784
58,22.71903,120832
59,22.71903,122880
60,22.71903,124928
61,22.71903,126976
62,22.71903,129024
63,22.71903,131072
64,22.71903,133120
65,22.71903,135168
66,22.71903,137216
67,22.71903,139264
68,22.71903,141312
69,22.71903,143360
70,22.71903,145408
71,22.71903,147456
72,22.71903,149504
73,22.71903,151552
74,22.71903,153600
75,22.71903,155648
76,22.71903,157696
77,22.71903,159744
78,16.58824,161792
79,16.58824,163840
80,16.58824,165888
81,16.58824,167936
82,16.58824,169984
83,16.58824,172032
84,16.58824,174080
85,16.58824,176128
86,16.58824,178176
87,16.58824,180224
88,16.58824,182272
89,16.58824,184320
90,16.58824,186368
91,16.58824,188416
92,16.58824,190464
93,16.58824,192512
94,16.58824,194560
95,16.58824,196608
96,16.58824,198656
97,16.58824,200704
98,16.58824,202752
99,16.58824,204800
100,16.58824,206848
101,16.58824,208896
102,16.58824,210944
103,16.58824,212992
104,14.65467,215040
105,14.65467,217088
106,14.65467,219136
107,14.65467,221184
108,14.65467,223232
109,14.65467,225280
110,14.65467,227328
111,14.65467,229376
112,14.65467,231424
113,14.65467,233472
114,14.65467,235520
115,14.65467,237568
116,13.76798,239616
117,13.76798,241664
118,13.76798,243712
119,13.76798,245760
120,13.76798,247808
