,best_fitness_19521284,num of evaluation calls
0,26.95274,256
1,26.95274,512
2,17.32401,768
3,17.32401,1024
4,17.32401,1280
5,16.12343,1536
6,8.8309,1792
7,8.8309,2048
8,8.8309,2304
9,8.8309,2560
10,3.43466,2816
11,3.43466,3072
12,3.43466,3328
13,3.43466,3584
14,3.04814,3840
15,3.04814,4096
16,3.04814,4352
17,3.04814,4608
18,3.04814,4864
19,2.74457,5120
20,2.74457,5376
21,1.83845,5632
22,1.83845,5888
23,1.83845,6144
24,1.83845,6400
25,1.83845,6656
26,1.62323,6912
27,1.62323,7168
28,1.3239,7424
29,1.05684,7680
30,1.04268,7936
31,0.72392,8192
32,0.72392,8448
33,0.6217,8704
34,0.47371,8960
35,0.47371,9216
36,0.47371,9472
37,0.34415,9728
38,0.25669,9984
39,0.25669,10240
40,0.24483,10496
41,0.24483,10752
42,0.14992,11008
43,0.14992,11264
44,0.14947,11520
45,0.14947,11776
46,0.14947,12032
47,0.14947,12288
48,0.11967,12544
49,0.11967,12800
50,0.10083,13056
51,0.08539,13312
52,0.0523,13568
53,0.04461,13824
54,0.04461,14080
55,0.01356,14336
56,0.01356,14592
57,0.01356,14848
58,0.01356,15104
59,0.01356,15360
60,0.01356,15616
61,0.01356,15872
62,0.01356,16128
63,0.01356,16384
64,0.01181,16640
65,0.01181,16896
66,0.01181,17152
67,0.01181,17408
68,0.0059,17664
69,0.0059,17920
70,0.0059,18176
71,0.00444,18432
72,0.00335,18688
73,0.00335,18944
74,0.00332,19200
75,0.00332,19456
76,0.00332,19712
77,0.00255,19968
78,0.00255,20224
79,0.00252,20480
80,0.00192,20736
81,0.00192,20992
82,0.00166,21248
83,0.00166,21504
84,0.00117,21760
85,0.00117,22016
86,0.00107,22272
87,0.00107,22528
88,0.00073,22784
89,0.00046,23040
90,0.00041,23296
91,0.00041,23552
92,0.00038,23808
93,0.00038,24064
94,0.00026,24320
95,0.00026,24576
96,0.00023,24832
97,0.00023,25088
98,0.00022,25344
99,0.00021,25600
100,0.00013,25856
101,0.0001,26112
102,0.0001,26368
103,0.0001,26624
104,0.0001,26880
105,0.0001,27136
106,4e-05,27392
107,4e-05,27648
108,4e-05,27904
109,4e-05,28160
110,4e-05,28416
111,4e-05,28672
112,4e-05,28928
113,4e-05,29184
114,4e-05,29440
115,3e-05,29696
116,2e-05,29952
117,2e-05,30208
118,2e-05,30464
119,2e-05,30720
120,2e-05,30976
121,2e-05,31232
122,1e-05,31488
123,1e-05,31744
124,1e-05,32000
125,1e-05,32256
126,0.0,32512
127,0.0,32768
128,0.0,33024
129,0.0,33280
130,0.0,33536
131,0.0,33792
132,0.0,34048
133,0.0,34304
134,0.0,34560
135,0.0,34816
136,0.0,35072
137,0.0,35328
138,0.0,35584
139,0.0,35840
140,0.0,36096
141,0.0,36352
142,0.0,36608
143,0.0,36864
144,0.0,37120
145,0.0,37376
146,0.0,37632
147,0.0,37888
148,0.0,38144
149,0.0,38400
150,0.0,38656
151,0.0,38912
152,0.0,39168
153,0.0,39424
154,0.0,39680
155,0.0,39936
156,0.0,40192
157,0.0,40448
158,0.0,40704
159,0.0,40960
160,0.0,41216
161,0.0,41472
162,0.0,41728
163,0.0,41984
164,0.0,42240
165,0.0,42496
166,0.0,42752
167,0.0,43008
168,0.0,43264
169,0.0,43520
170,0.0,43776
171,0.0,44032
172,0.0,44288
173,0.0,44544
174,0.0,44800
175,0.0,45056
176,0.0,45312
177,0.0,45568
178,0.0,45824
179,0.0,46080
180,0.0,46336
181,0.0,46592
182,0.0,46848
183,0.0,47104
184,0.0,47360
185,0.0,47616
186,0.0,47872
187,0.0,48128
188,0.0,48384
189,0.0,48640
190,0.0,48896
191,0.0,49152
192,0.0,49408
193,0.0,49664
194,0.0,49920
195,0.0,50176
196,0.0,50432
197,0.0,50688
