,best_fitness_19521284,num of evaluation calls
0,1.23974,256
1,0.20907,512
2,0.20907,768
3,0.07198,1024
4,0.07198,1280
5,0.07198,1536
6,0.07198,1792
7,0.07198,2048
8,0.07198,2304
9,0.07198,2560
10,0.07198,2816
11,0.07198,3072
12,0.06896,3328
13,0.06896,3584
14,0.06896,3840
15,0.06896,4096
16,0.06896,4352
17,0.0398,4608
18,0.0398,4864
19,0.0398,5120
20,0.0398,5376
21,0.03322,5632
22,0.03322,5888
23,0.03322,6144
24,0.03322,6400
25,0.03322,6656
26,0.03322,6912
27,0.01806,7168
28,0.01806,7424
29,0.01806,7680
30,0.01806,7936
31,0.01806,8192
32,0.01806,8448
33,0.01806,8704
34,0.01806,8960
35,0.01806,9216
36,0.01806,9472
37,0.01806,9728
38,0.01806,9984
39,0.01806,10240
40,0.01806,10496
41,0.01806,10752
42,0.01806,11008
43,0.01806,11264
44,0.01806,11520
45,0.01806,11776
46,0.01806,12032
47,0.01806,12288
48,0.01806,12544
49,0.01806,12800
50,0.01334,13056
51,0.01334,13312
52,0.0019,13568
53,0.0019,13824
54,0.0019,14080
55,0.0019,14336
56,0.0019,14592
57,0.0019,14848
58,0.00177,15104
59,0.00177,15360
60,0.00177,15616
61,0.00128,15872
62,0.00128,16128
63,0.00128,16384
64,0.00128,16640
65,0.00128,16896
66,0.00128,17152
67,0.00128,17408
68,0.00128,17664
69,0.00128,17920
70,0.00089,18176
71,0.00089,18432
72,0.00089,18688
73,0.00089,18944
74,0.00089,19200
75,0.00089,19456
76,0.00089,19712
77,0.00089,19968
78,0.00089,20224
79,0.00089,20480
80,0.00089,20736
81,0.00089,20992
82,0.00089,21248
83,0.00089,21504
84,0.00089,21760
85,4e-05,22016
86,4e-05,22272
87,4e-05,22528
88,4e-05,22784
89,4e-05,23040
90,4e-05,23296
91,4e-05,23552
92,4e-05,23808
93,1e-05,24064
94,1e-05,24320
95,1e-05,24576
96,1e-05,24832
97,1e-05,25088
98,1e-05,25344
99,1e-05,25600
100,1e-05,25856
101,1e-05,26112
102,1e-05,26368
103,1e-05,26624
104,1e-05,26880
105,1e-05,27136
106,1e-05,27392
107,1e-05,27648
108,1e-05,27904
109,1e-05,28160
110,1e-05,28416
111,1e-05,28672
112,0.0,28928
113,0.0,29184
114,0.0,29440
115,0.0,29696
116,0.0,29952
117,0.0,30208
118,0.0,30464
119,0.0,30720
120,0.0,30976
121,0.0,31232
122,0.0,31488
123,0.0,31744
124,0.0,32000
125,0.0,32256
126,0.0,32512
127,0.0,32768
128,0.0,33024
129,0.0,33280
130,0.0,33536
131,0.0,33792
132,0.0,34048
133,0.0,34304
134,0.0,34560
135,0.0,34816
136,0.0,35072
137,0.0,35328
138,0.0,35584
139,0.0,35840
140,0.0,36096
141,0.0,36352
142,0.0,36608
143,0.0,36864
144,0.0,37120
145,0.0,37376
146,0.0,37632
147,0.0,37888
148,0.0,38144
149,0.0,38400
150,0.0,38656
151,0.0,38912
152,0.0,39168
153,0.0,39424
154,0.0,39680
