,best_fitness_19521281,num of evaluation calls
0,168.52,65
1,167.65,129
2,166.54,193
3,165.4,257
4,165.25,321
5,163.4,385
6,162.57,449
7,161.06,513
8,159.42,577
9,157.52,641
10,155.12,705
11,153.49,769
12,151.42,833
13,149.45,897
14,146.88,961
15,141.63,1025
16,138.76,1089
17,133.48,1153
18,129.42,1217
19,124.92,1281
20,118.54,1345
21,113.82,1409
22,110.34,1473
23,103.93,1537
24,98.22,1601
25,89.68,1665
26,82.18,1729
27,75.19,1793
28,65.43,1857
29,54.91,1921
30,45.83,1985
31,37.66,2049
32,28.7,2113
33,22.61,2177
34,12.47,2241
35,5.53,2305
36,2.32,2369
37,0.52,2433
38,0.21,2497
39,0.63,2561
40,0.26,2625
41,0.07,2689
42,0.19,2753
43,0.06,2817
44,0.03,2881
45,0.08,2945
46,0.05,3009
47,0.04,3073
48,0.08,3137
49,0.02,3201
50,0.05,3265
51,0.03,3329
52,0.01,3393
53,0.02,3457
54,0.01,3521
55,0.01,3585
56,0.01,3649
57,0.01,3713
58,0.01,3777
59,0.01,3841
60,0.01,3905
61,0.01,3969
62,0.01,4033
63,0.01,4097
64,0.01,4161
65,0.01,4225
66,0.01,4289
67,0.01,4353
68,0.01,4417
69,0.01,4481
70,0.01,4545
71,0.01,4609
72,0.01,4673
73,0.01,4737
74,0.01,4801
75,0.01,4865
76,0.01,4929
77,0.01,4993
78,0.01,5057
79,0.01,5121
80,0.01,5185
