,best_fitness_19521290,num of evaluation calls
0,9.48,33
1,4.95,65
2,8.33,97
3,6.08,129
4,4.17,161
5,4.77,193
6,5.36,225
7,4.06,257
8,4.13,289
9,4.02,321
10,4.03,353
11,4.11,385
12,4.01,417
13,4.01,449
14,4.01,481
15,3.99,513
16,3.98,545
17,3.98,577
18,3.98,609
19,3.98,641
20,3.98,673
21,3.98,705
22,3.98,737
23,3.98,769
24,3.98,801
25,3.98,833
26,3.98,865
27,3.98,897
28,3.98,929
29,3.98,961
30,3.98,993
31,3.98,1025
32,3.98,1057
33,3.98,1089
34,3.98,1121
35,3.98,1153
36,3.98,1185
37,3.98,1217
38,3.98,1249
39,3.98,1281
40,3.98,1313
41,3.98,1345
42,3.98,1377
43,3.98,1409
44,3.98,1441
45,3.98,1473
46,3.98,1505
